X (km),Y (km),Z (km),Time Step,Revolution
6800.686605599999,0.0,0.0,0,0
6787.104780194424,20.27690257783847,429.9706807765725,1,0
6746.414201571984,40.472816698010156,858.224005455765,2,0
6678.779324953981,60.50708897108449,1283.0497230449873,3,0
6584.473451788016,80.299734569955,1702.7517593814948,4,0
6463.877548348887,99.77176758611303,2115.655222320254,5,0
6317.478600705362,118.84552670528979,2520.113307669256,6,0
6145.867514885683,137.4449946906201,2914.51407381364,7,0
5949.736573467533,155.49611020222963,3297.287053834077,8,0
5729.876462115454,172.92707053221042,3666.9096749864157,9,0
5487.172881772177,189.66862389276972,4021.9134566569164,10,0
5222.6027642630925,205.654349962272,4360.889959326705,11,0
4937.23011098019,220.82092746820962,4682.496458654957,12,0
4632.201476060476,235.10838766705027,4985.46132050609,13,0
4308.741117053047,248.46035266756718,5268.589054583767,14,0
3968.145837470324,260.8242576357853,5530.765026275411,15,0
3611.7795468360314,272.1515560151522,5770.95980833541,16,0
3241.067564871282,282.3979069940571,5988.233156124266,17,0
2857.4906972990652,291.5233445534512,6181.737592254719,18,0
2462.5791113967007,299.49242752916257,6350.7215886554595,19,0
2057.906039888334,306.27437022568006,6494.532336229717,20,0
1645.081342049526,311.8431532198608,6612.618094442209,21,0
1225.7449509998787,316.17761409341614,6704.53011529686,22,0
801.5602360955027,319.2615179314105,6769.924138253854,23,0
374.2073091101276,321.0836075197196,6808.561454664174,24,0
-54.623697477652634,321.6376332668296,6820.309542259811,25,0
-483.23935228118603,320.9223629640144,6805.142272117829,26,0
-909.9496197094132,318.9415715823594,6763.139692306779,27,0
-1333.0745011438116,315.7040113849472,6694.487394117118,28,0
-1750.9505969976874,311.2233627075114,6599.475468367505,29,0
-2161.9375649946437,305.51816583079045,6478.497060761545,30,0
-2564.4244510030244,298.61173443255825,6332.046536642532,31,0
-2956.8358698228776,290.5320511668085,6160.717266755404,32,0
-3337.638014428609,281.3116459718536,5965.199046776204,33,0
-3705.344473313142,270.98745775822687,5746.275164411141,34,0
-4058.521836746094,259.60068017140304,5504.819128802968,35,0
-4395.795073940571,247.19659216363158,5241.791077815381,36,0
-4715.852664309951,233.8243741438649,4958.233879501676,37,0
-5017.4514671810775,219.53691050509315,4655.268944706981,38,0
-5299.421315504907,204.390579354687,4334.091768310951,39,0
-5560.66932026587,188.44503029586878,3995.967217095241,40,0
-5800.183873430048,171.76295112756316,3642.2245826257877,41,0
-6017.038338388251,154.40982434588975,3274.252417879426,42,0
-6210.394417938604,136.45367434384676,2893.4931766261357,43,0
-6379.505190914469,117.96480621656491,2501.4376748078153,44,0
-6523.717809595463,99.01553708826023,2099.6193933400846,45,0
-6642.475851043212,79.67992088394531,1689.608641910511,46,0
-6735.321316480344,60.03346747434431,1273.0066034609158,47,0
-6801.896273782635,40.15285712661337,851.4392791295254,48,0
-6841.944139083523,20.115651196521302,426.55135349347535,49,0
-6855.3105944,3.95474395580652e-14,8.386014305920835e-13,50,0
-6841.944139083523,-20.11565119652116,-426.55135349347233,51,0
-6801.896273782637,-40.15285712661281,-851.4392791295134,52,0
-6735.321316480344,-60.03346747434418,-1273.006603460913,53,0
-6642.475851043215,-79.67992088394489,-1689.608641910502,54,0
-6523.717809595466,-99.01553708825995,-2099.6193933400787,55,0
-6379.505190914469,-117.96480621656477,-2501.4376748078125,56,0
-6210.394417938606,-136.45367434384653,-2893.4931766261307,57,0
-6017.038338388251,-154.40982434588975,-3274.252417879426,58,0
-5800.183873430053,-171.76295112756281,-3642.2245826257804,59,0
-5560.66932026587,-188.44503029586878,-3995.967217095241,60,0
-5299.421315504907,-204.390579354687,-4334.091768310951,61,0
-5017.4514671810775,-219.53691050509315,-4655.268944706981,62,0
-4715.852664309954,-233.82437414386482,-4958.233879501674,63,0
-4395.7950739405605,-247.19659216363192,-5241.791077815388,64,0
-4058.5218367461034,-259.6006801714027,-5504.819128802961,65,0
-3705.3444733131387,-270.9874577582269,-5746.275164411143,66,0
-3337.6380144286118,-281.31164597185347,-5965.1990467762025,67,0
-2956.835869822875,-290.53205116680857,-6160.717266755406,68,0
-2564.4244510030285,-298.61173443255814,-6332.04653664253,69,0
-2161.9375649946514,-305.5181658307903,-6478.497060761541,70,0
-1750.9505969976947,-311.2233627075113,-6599.475468367502,71,0
-1333.07450114381,-315.7040113849472,-6694.487394117118,72,0
-909.9496197094254,-318.94157158235936,-6763.139692306778,73,0
-483.2393522811982,-320.9223629640143,-6805.142272117828,74,0
-54.62369747765414,-321.6376332668296,-6820.309542259811,75,0
374.20730911012157,-321.08360751971964,-6808.561454664175,76,0
801.5602360954996,-319.2615179314105,-6769.924138253854,77,0
1225.7449509998758,-316.17761409341614,-6704.53011529686,78,0
1645.081342049529,-311.8431532198608,-6612.618094442209,79,0
2057.9060398883307,-306.2743702256801,-6494.532336229718,80,0
2462.5791113966975,-299.4924275291626,-6350.72158865546,81,0
2857.4906972990607,-291.52334455345124,-6181.737592254721,82,0
3241.067564871287,-282.39790699405694,-5988.233156124263,83,0
3611.7795468360305,-272.15155601515227,-5770.959808335411,84,0
3968.145837470315,-260.8242576357857,-5530.76502627542,85,0
4308.741117053045,-248.4603526675672,-5268.589054583768,86,0
4632.201476060469,-235.10838766705055,-4985.461320506096,87,0
4937.230110980178,-220.82092746821021,-4682.4964586549695,88,0
5222.60276426309,-205.65434996227208,-4360.889959326707,89,0
5487.172881772175,-189.66862389276983,-4021.913456656919,90,0
5729.87646211545,-172.9270705322107,-3666.9096749864216,91,0
5949.736573467531,-155.49611020222986,-3297.2870538340817,92,0
6145.867514885681,-137.44499469062038,-2914.5140738136465,93,0
6317.478600705364,-118.8455267052894,-2520.113307669248,94,0
6463.8775483488835,-99.77176758611347,-2115.6552223202634,95,0
6584.473451788012,-80.29973456995543,-1702.7517593815037,96,0
6678.779324953978,-60.507088971084976,-1283.0497230449976,97,0
6746.414201571984,-40.47281669801032,-858.2240054557683,98,0
6787.104780194424,-20.276902577838452,-429.97068077657207,99,0
6800.686605599999,0.0,0.0,0,1
6787.104780194424,20.27690257783847,429.9706807765725,1,1
6746.414201571984,40.472816698010156,858.224005455765,2,1
6678.779324953981,60.50708897108449,1283.0497230449873,3,1
6584.473451788016,80.299734569955,1702.7517593814948,4,1
6463.877548348887,99.77176758611303,2115.655222320254,5,1
6317.478600705362,118.84552670528979,2520.113307669256,6,1
6145.867514885683,137.4449946906201,2914.51407381364,7,1
5949.736573467533,155.49611020222963,3297.287053834077,8,1
5729.876462115454,172.92707053221042,3666.9096749864157,9,1
5487.172881772177,189.66862389276972,4021.9134566569164,10,1
5222.6027642630925,205.654349962272,4360.889959326705,11,1
4937.23011098019,220.82092746820962,4682.496458654957,12,1
4632.201476060476,235.10838766705027,4985.46132050609,13,1
4308.741117053047,248.46035266756718,5268.589054583767,14,1
3968.145837470324,260.8242576357853,5530.765026275411,15,1
3611.7795468360314,272.1515560151522,5770.95980833541,16,1
3241.067564871282,282.3979069940571,5988.233156124266,17,1
2857.4906972990652,291.5233445534512,6181.737592254719,18,1
2462.5791113967007,299.49242752916257,6350.7215886554595,19,1
2057.906039888334,306.27437022568006,6494.532336229717,20,1
1645.081342049526,311.8431532198608,6612.618094442209,21,1
1225.7449509998787,316.17761409341614,6704.53011529686,22,1
801.5602360955027,319.2615179314105,6769.924138253854,23,1
374.2073091101276,321.0836075197196,6808.561454664174,24,1
-54.623697477652634,321.6376332668296,6820.309542259811,25,1
-483.23935228118603,320.9223629640144,6805.142272117829,26,1
-909.9496197094132,318.9415715823594,6763.139692306779,27,1
-1333.0745011438116,315.7040113849472,6694.487394117118,28,1
-1750.9505969976874,311.2233627075114,6599.475468367505,29,1
-2161.9375649946437,305.51816583079045,6478.497060761545,30,1
-2564.4244510030244,298.61173443255825,6332.046536642532,31,1
-2956.8358698228776,290.5320511668085,6160.717266755404,32,1
-3337.638014428609,281.3116459718536,5965.199046776204,33,1
-3705.344473313142,270.98745775822687,5746.275164411141,34,1
-4058.521836746094,259.60068017140304,5504.819128802968,35,1
-4395.795073940571,247.19659216363158,5241.791077815381,36,1
-4715.852664309951,233.8243741438649,4958.233879501676,37,1
-5017.4514671810775,219.53691050509315,4655.268944706981,38,1
-5299.421315504907,204.390579354687,4334.091768310951,39,1
-5560.66932026587,188.44503029586878,3995.967217095241,40,1
-5800.183873430048,171.76295112756316,3642.2245826257877,41,1
-6017.038338388251,154.40982434588975,3274.252417879426,42,1
-6210.394417938604,136.45367434384676,2893.4931766261357,43,1
-6379.505190914469,117.96480621656491,2501.4376748078153,44,1
-6523.717809595463,99.01553708826023,2099.6193933400846,45,1
-6642.475851043212,79.67992088394531,1689.608641910511,46,1
-6735.321316480344,60.03346747434431,1273.0066034609158,47,1
-6801.896273782635,40.15285712661337,851.4392791295254,48,1
-6841.944139083523,20.115651196521302,426.55135349347535,49,1
-6855.3105944,3.95474395580652e-14,8.386014305920835e-13,50,1
-6841.944139083523,-20.11565119652116,-426.55135349347233,51,1
-6801.896273782637,-40.15285712661281,-851.4392791295134,52,1
-6735.321316480344,-60.03346747434418,-1273.006603460913,53,1
-6642.475851043215,-79.67992088394489,-1689.608641910502,54,1
-6523.717809595466,-99.01553708825995,-2099.6193933400787,55,1
-6379.505190914469,-117.96480621656477,-2501.4376748078125,56,1
-6210.394417938606,-136.45367434384653,-2893.4931766261307,57,1
-6017.038338388251,-154.40982434588975,-3274.252417879426,58,1
-5800.183873430053,-171.76295112756281,-3642.2245826257804,59,1
-5560.66932026587,-188.44503029586878,-3995.967217095241,60,1
-5299.421315504907,-204.390579354687,-4334.091768310951,61,1
-5017.4514671810775,-219.53691050509315,-4655.268944706981,62,1
-4715.852664309954,-233.82437414386482,-4958.233879501674,63,1
-4395.7950739405605,-247.19659216363192,-5241.791077815388,64,1
-4058.5218367461034,-259.6006801714027,-5504.819128802961,65,1
-3705.3444733131387,-270.9874577582269,-5746.275164411143,66,1
-3337.6380144286118,-281.31164597185347,-5965.1990467762025,67,1
-2956.835869822875,-290.53205116680857,-6160.717266755406,68,1
-2564.4244510030285,-298.61173443255814,-6332.04653664253,69,1
-2161.9375649946514,-305.5181658307903,-6478.497060761541,70,1
-1750.9505969976947,-311.2233627075113,-6599.475468367502,71,1
-1333.07450114381,-315.7040113849472,-6694.487394117118,72,1
-909.9496197094254,-318.94157158235936,-6763.139692306778,73,1
-483.2393522811982,-320.9223629640143,-6805.142272117828,74,1
-54.62369747765414,-321.6376332668296,-6820.309542259811,75,1
374.20730911012157,-321.08360751971964,-6808.561454664175,76,1
801.5602360954996,-319.2615179314105,-6769.924138253854,77,1
1225.7449509998758,-316.17761409341614,-6704.53011529686,78,1
1645.081342049529,-311.8431532198608,-6612.618094442209,79,1
2057.9060398883307,-306.2743702256801,-6494.532336229718,80,1
2462.5791113966975,-299.4924275291626,-6350.72158865546,81,1
2857.4906972990607,-291.52334455345124,-6181.737592254721,82,1
3241.067564871287,-282.39790699405694,-5988.233156124263,83,1
3611.7795468360305,-272.15155601515227,-5770.959808335411,84,1
3968.145837470315,-260.8242576357857,-5530.76502627542,85,1
4308.741117053045,-248.4603526675672,-5268.589054583768,86,1
4632.201476060469,-235.10838766705055,-4985.461320506096,87,1
4937.230110980178,-220.82092746821021,-4682.4964586549695,88,1
5222.60276426309,-205.65434996227208,-4360.889959326707,89,1
5487.172881772175,-189.66862389276983,-4021.913456656919,90,1
5729.87646211545,-172.9270705322107,-3666.9096749864216,91,1
5949.736573467531,-155.49611020222986,-3297.2870538340817,92,1
6145.867514885681,-137.44499469062038,-2914.5140738136465,93,1
6317.478600705364,-118.8455267052894,-2520.113307669248,94,1
6463.8775483488835,-99.77176758611347,-2115.6552223202634,95,1
6584.473451788012,-80.29973456995543,-1702.7517593815037,96,1
6678.779324953978,-60.507088971084976,-1283.0497230449976,97,1
6746.414201571984,-40.47281669801032,-858.2240054557683,98,1
6787.104780194424,-20.276902577838452,-429.97068077657207,99,1
6800.686605599999,0.0,0.0,0,2
6787.104780194424,20.27690257783847,429.9706807765725,1,2
6746.414201571984,40.472816698010156,858.224005455765,2,2
6678.779324953981,60.50708897108449,1283.0497230449873,3,2
6584.473451788016,80.299734569955,1702.7517593814948,4,2
6463.877548348887,99.77176758611303,2115.655222320254,5,2
6317.478600705362,118.84552670528979,2520.113307669256,6,2
6145.867514885683,137.4449946906201,2914.51407381364,7,2
5949.736573467533,155.49611020222963,3297.287053834077,8,2
5729.876462115454,172.92707053221042,3666.9096749864157,9,2
5487.172881772177,189.66862389276972,4021.9134566569164,10,2
5222.6027642630925,205.654349962272,4360.889959326705,11,2
4937.23011098019,220.82092746820962,4682.496458654957,12,2
4632.201476060476,235.10838766705027,4985.46132050609,13,2
4308.741117053047,248.46035266756718,5268.589054583767,14,2
3968.145837470324,260.8242576357853,5530.765026275411,15,2
3611.7795468360314,272.1515560151522,5770.95980833541,16,2
3241.067564871282,282.3979069940571,5988.233156124266,17,2
2857.4906972990652,291.5233445534512,6181.737592254719,18,2
2462.5791113967007,299.49242752916257,6350.7215886554595,19,2
2057.906039888334,306.27437022568006,6494.532336229717,20,2
1645.081342049526,311.8431532198608,6612.618094442209,21,2
1225.7449509998787,316.17761409341614,6704.53011529686,22,2
801.5602360955027,319.2615179314105,6769.924138253854,23,2
374.2073091101276,321.0836075197196,6808.561454664174,24,2
-54.623697477652634,321.6376332668296,6820.309542259811,25,2
-483.23935228118603,320.9223629640144,6805.142272117829,26,2
-909.9496197094132,318.9415715823594,6763.139692306779,27,2
-1333.0745011438116,315.7040113849472,6694.487394117118,28,2
-1750.9505969976874,311.2233627075114,6599.475468367505,29,2
-2161.9375649946437,305.51816583079045,6478.497060761545,30,2
-2564.4244510030244,298.61173443255825,6332.046536642532,31,2
-2956.8358698228776,290.5320511668085,6160.717266755404,32,2
-3337.638014428609,281.3116459718536,5965.199046776204,33,2
-3705.344473313142,270.98745775822687,5746.275164411141,34,2
-4058.521836746094,259.60068017140304,5504.819128802968,35,2
-4395.795073940571,247.19659216363158,5241.791077815381,36,2
-4715.852664309951,233.8243741438649,4958.233879501676,37,2
-5017.4514671810775,219.53691050509315,4655.268944706981,38,2
-5299.421315504907,204.390579354687,4334.091768310951,39,2
-5560.66932026587,188.44503029586878,3995.967217095241,40,2
-5800.183873430048,171.76295112756316,3642.2245826257877,41,2
-6017.038338388251,154.40982434588975,3274.252417879426,42,2
-6210.394417938604,136.45367434384676,2893.4931766261357,43,2
-6379.505190914469,117.96480621656491,2501.4376748078153,44,2
-6523.717809595463,99.01553708826023,2099.6193933400846,45,2
-6642.475851043212,79.67992088394531,1689.608641910511,46,2
-6735.321316480344,60.03346747434431,1273.0066034609158,47,2
-6801.896273782635,40.15285712661337,851.4392791295254,48,2
-6841.944139083523,20.115651196521302,426.55135349347535,49,2
-6855.3105944,3.95474395580652e-14,8.386014305920835e-13,50,2
-6841.944139083523,-20.11565119652116,-426.55135349347233,51,2
-6801.896273782637,-40.15285712661281,-851.4392791295134,52,2
-6735.321316480344,-60.03346747434418,-1273.006603460913,53,2
-6642.475851043215,-79.67992088394489,-1689.608641910502,54,2
-6523.717809595466,-99.01553708825995,-2099.6193933400787,55,2
-6379.505190914469,-117.96480621656477,-2501.4376748078125,56,2
-6210.394417938606,-136.45367434384653,-2893.4931766261307,57,2
-6017.038338388251,-154.40982434588975,-3274.252417879426,58,2
-5800.183873430053,-171.76295112756281,-3642.2245826257804,59,2
-5560.66932026587,-188.44503029586878,-3995.967217095241,60,2
-5299.421315504907,-204.390579354687,-4334.091768310951,61,2
-5017.4514671810775,-219.53691050509315,-4655.268944706981,62,2
-4715.852664309954,-233.82437414386482,-4958.233879501674,63,2
-4395.7950739405605,-247.19659216363192,-5241.791077815388,64,2
-4058.5218367461034,-259.6006801714027,-5504.819128802961,65,2
-3705.3444733131387,-270.9874577582269,-5746.275164411143,66,2
-3337.6380144286118,-281.31164597185347,-5965.1990467762025,67,2
-2956.835869822875,-290.53205116680857,-6160.717266755406,68,2
-2564.4244510030285,-298.61173443255814,-6332.04653664253,69,2
-2161.9375649946514,-305.5181658307903,-6478.497060761541,70,2
-1750.9505969976947,-311.2233627075113,-6599.475468367502,71,2
-1333.07450114381,-315.7040113849472,-6694.487394117118,72,2
-909.9496197094254,-318.94157158235936,-6763.139692306778,73,2
-483.2393522811982,-320.9223629640143,-6805.142272117828,74,2
-54.62369747765414,-321.6376332668296,-6820.309542259811,75,2
374.20730911012157,-321.08360751971964,-6808.561454664175,76,2
801.5602360954996,-319.2615179314105,-6769.924138253854,77,2
1225.7449509998758,-316.17761409341614,-6704.53011529686,78,2
1645.081342049529,-311.8431532198608,-6612.618094442209,79,2
2057.9060398883307,-306.2743702256801,-6494.532336229718,80,2
2462.5791113966975,-299.4924275291626,-6350.72158865546,81,2
2857.4906972990607,-291.52334455345124,-6181.737592254721,82,2
3241.067564871287,-282.39790699405694,-5988.233156124263,83,2
3611.7795468360305,-272.15155601515227,-5770.959808335411,84,2
3968.145837470315,-260.8242576357857,-5530.76502627542,85,2
4308.741117053045,-248.4603526675672,-5268.589054583768,86,2
4632.201476060469,-235.10838766705055,-4985.461320506096,87,2
4937.230110980178,-220.82092746821021,-4682.4964586549695,88,2
5222.60276426309,-205.65434996227208,-4360.889959326707,89,2
5487.172881772175,-189.66862389276983,-4021.913456656919,90,2
5729.87646211545,-172.9270705322107,-3666.9096749864216,91,2
5949.736573467531,-155.49611020222986,-3297.2870538340817,92,2
6145.867514885681,-137.44499469062038,-2914.5140738136465,93,2
6317.478600705364,-118.8455267052894,-2520.113307669248,94,2
6463.8775483488835,-99.77176758611347,-2115.6552223202634,95,2
6584.473451788012,-80.29973456995543,-1702.7517593815037,96,2
6678.779324953978,-60.507088971084976,-1283.0497230449976,97,2
6746.414201571984,-40.47281669801032,-858.2240054557683,98,2
6787.104780194424,-20.276902577838452,-429.97068077657207,99,2
6800.686605599999,0.0,0.0,0,3
6787.104780194424,20.27690257783847,429.9706807765725,1,3
6746.414201571984,40.472816698010156,858.224005455765,2,3
6678.779324953981,60.50708897108449,1283.0497230449873,3,3
6584.473451788016,80.299734569955,1702.7517593814948,4,3
6463.877548348887,99.77176758611303,2115.655222320254,5,3
6317.478600705362,118.84552670528979,2520.113307669256,6,3
6145.867514885683,137.4449946906201,2914.51407381364,7,3
5949.736573467533,155.49611020222963,3297.287053834077,8,3
5729.876462115454,172.92707053221042,3666.9096749864157,9,3
5487.172881772177,189.66862389276972,4021.9134566569164,10,3
5222.6027642630925,205.654349962272,4360.889959326705,11,3
4937.23011098019,220.82092746820962,4682.496458654957,12,3
4632.201476060476,235.10838766705027,4985.46132050609,13,3
4308.741117053047,248.46035266756718,5268.589054583767,14,3
3968.145837470324,260.8242576357853,5530.765026275411,15,3
3611.7795468360314,272.1515560151522,5770.95980833541,16,3
3241.067564871282,282.3979069940571,5988.233156124266,17,3
2857.4906972990652,291.5233445534512,6181.737592254719,18,3
2462.5791113967007,299.49242752916257,6350.7215886554595,19,3
2057.906039888334,306.27437022568006,6494.532336229717,20,3
1645.081342049526,311.8431532198608,6612.618094442209,21,3
1225.7449509998787,316.17761409341614,6704.53011529686,22,3
801.5602360955027,319.2615179314105,6769.924138253854,23,3
374.2073091101276,321.0836075197196,6808.561454664174,24,3
-54.623697477652634,321.6376332668296,6820.309542259811,25,3
-483.23935228118603,320.9223629640144,6805.142272117829,26,3
-909.9496197094132,318.9415715823594,6763.139692306779,27,3
-1333.0745011438116,315.7040113849472,6694.487394117118,28,3
-1750.9505969976874,311.2233627075114,6599.475468367505,29,3
-2161.9375649946437,305.51816583079045,6478.497060761545,30,3
-2564.4244510030244,298.61173443255825,6332.046536642532,31,3
-2956.8358698228776,290.5320511668085,6160.717266755404,32,3
-3337.638014428609,281.3116459718536,5965.199046776204,33,3
-3705.344473313142,270.98745775822687,5746.275164411141,34,3
-4058.521836746094,259.60068017140304,5504.819128802968,35,3
-4395.795073940571,247.19659216363158,5241.791077815381,36,3
-4715.852664309951,233.8243741438649,4958.233879501676,37,3
-5017.4514671810775,219.53691050509315,4655.268944706981,38,3
-5299.421315504907,204.390579354687,4334.091768310951,39,3
-5560.66932026587,188.44503029586878,3995.967217095241,40,3
-5800.183873430048,171.76295112756316,3642.2245826257877,41,3
-6017.038338388251,154.40982434588975,3274.252417879426,42,3
-6210.394417938604,136.45367434384676,2893.4931766261357,43,3
-6379.505190914469,117.96480621656491,2501.4376748078153,44,3
-6523.717809595463,99.01553708826023,2099.6193933400846,45,3
-6642.475851043212,79.67992088394531,1689.608641910511,46,3
-6735.321316480344,60.03346747434431,1273.0066034609158,47,3
-6801.896273782635,40.15285712661337,851.4392791295254,48,3
-6841.944139083523,20.115651196521302,426.55135349347535,49,3
-6855.3105944,3.95474395580652e-14,8.386014305920835e-13,50,3
-6841.944139083523,-20.11565119652116,-426.55135349347233,51,3
-6801.896273782637,-40.15285712661281,-851.4392791295134,52,3
-6735.321316480344,-60.03346747434418,-1273.006603460913,53,3
-6642.475851043215,-79.67992088394489,-1689.608641910502,54,3
-6523.717809595466,-99.01553708825995,-2099.6193933400787,55,3
-6379.505190914469,-117.96480621656477,-2501.4376748078125,56,3
-6210.394417938606,-136.45367434384653,-2893.4931766261307,57,3
-6017.038338388251,-154.40982434588975,-3274.252417879426,58,3
-5800.183873430053,-171.76295112756281,-3642.2245826257804,59,3
-5560.66932026587,-188.44503029586878,-3995.967217095241,60,3
-5299.421315504907,-204.390579354687,-4334.091768310951,61,3
-5017.4514671810775,-219.53691050509315,-4655.268944706981,62,3
-4715.852664309954,-233.82437414386482,-4958.233879501674,63,3
-4395.7950739405605,-247.19659216363192,-5241.791077815388,64,3
-4058.5218367461034,-259.6006801714027,-5504.819128802961,65,3
-3705.3444733131387,-270.9874577582269,-5746.275164411143,66,3
-3337.6380144286118,-281.31164597185347,-5965.1990467762025,67,3
-2956.835869822875,-290.53205116680857,-6160.717266755406,68,3
-2564.4244510030285,-298.61173443255814,-6332.04653664253,69,3
-2161.9375649946514,-305.5181658307903,-6478.497060761541,70,3
-1750.9505969976947,-311.2233627075113,-6599.475468367502,71,3
-1333.07450114381,-315.7040113849472,-6694.487394117118,72,3
-909.9496197094254,-318.94157158235936,-6763.139692306778,73,3
-483.2393522811982,-320.9223629640143,-6805.142272117828,74,3
-54.62369747765414,-321.6376332668296,-6820.309542259811,75,3
374.20730911012157,-321.08360751971964,-6808.561454664175,76,3
801.5602360954996,-319.2615179314105,-6769.924138253854,77,3
1225.7449509998758,-316.17761409341614,-6704.53011529686,78,3
1645.081342049529,-311.8431532198608,-6612.618094442209,79,3
2057.9060398883307,-306.2743702256801,-6494.532336229718,80,3
2462.5791113966975,-299.4924275291626,-6350.72158865546,81,3
2857.4906972990607,-291.52334455345124,-6181.737592254721,82,3
3241.067564871287,-282.39790699405694,-5988.233156124263,83,3
3611.7795468360305,-272.15155601515227,-5770.959808335411,84,3
3968.145837470315,-260.8242576357857,-5530.76502627542,85,3
4308.741117053045,-248.4603526675672,-5268.589054583768,86,3
4632.201476060469,-235.10838766705055,-4985.461320506096,87,3
4937.230110980178,-220.82092746821021,-4682.4964586549695,88,3
5222.60276426309,-205.65434996227208,-4360.889959326707,89,3
5487.172881772175,-189.66862389276983,-4021.913456656919,90,3
5729.87646211545,-172.9270705322107,-3666.9096749864216,91,3
5949.736573467531,-155.49611020222986,-3297.2870538340817,92,3
6145.867514885681,-137.44499469062038,-2914.5140738136465,93,3
6317.478600705364,-118.8455267052894,-2520.113307669248,94,3
6463.8775483488835,-99.77176758611347,-2115.6552223202634,95,3
6584.473451788012,-80.29973456995543,-1702.7517593815037,96,3
6678.779324953978,-60.507088971084976,-1283.0497230449976,97,3
6746.414201571984,-40.47281669801032,-858.2240054557683,98,3
6787.104780194424,-20.276902577838452,-429.97068077657207,99,3
6800.686605599999,0.0,0.0,0,4
6787.104780194424,20.27690257783847,429.9706807765725,1,4
